Time,X,Y,Theta,Mode
62.2,622,0,0,straight
62.3,623,0,0,straight
62.4,624,0,0,straight
62.5,625,0,0,straight
62.6,626,0,0,straight
62.7,627,0,0,straight
62.8,628,0,0,straight
62.9,629,0,0,straight
63,630,0,0,straight
63.1,631,0,0,straight
63.2,632,0,0,straight
63.3,633,0,0,straight
63.4,634,0,0,straight
63.5,635,0,0,straight
63.6,636,0,0,straight
63.7,637,0,0,straight
63.8,638,0,0,straight
63.9,639,0,0,straight
64,640,0,0,straight
64.1,641,0,0,straight
64.2,642,0,0,straight
64.3,643,0,0,straight
64.4,644,0,0,straight
64.5,645,0,0,straight
64.6,646,0,0,straight
64.7,647,0,0,straight
64.8,648,0,0,straight
64.9,649,0,0,straight
65,650,0,0,straight
65.1,651,0,0,straight
65.2,652,0,0,straight
65.3,653,0,0,straight
65.4,654,0,0,straight
65.5,655,0,0,straight
65.6,656,0,0,straight
65.7,657,0,0,straight
65.8,658,0,0,straight
65.9,659,0,0,straight
66,660,0,0,straight
66.1,661,0,0,straight
66.2,662,0,0,straight
66.3,663,0,0,straight
66.4,664,0,0,straight
66.5,665,0,0,straight
66.6,666,0,0,straight
66.7,667,0,0,straight
66.8,668,0,0,straight
66.9,669,0,0,straight
67,670,0,0,straight
67.1,671,0,0,straight
67.2,672,0,0,straight
67.3,673,0,0,straight
67.4,674,0,0,straight
67.5,675,0,0,straight
67.6,676,0,0,straight
67.7,677,0,0,straight
67.8,678,0,0,straight
67.9,679,0,0,straight
68,680,0,0,straight
68.1,681,0,0,straight
68.2,682,0,0,straight
68.3,683,0,0,straight
68.4,684,0,0,straight
68.5,685,0,0,straight
68.6,686,0,0,straight
68.7,687,0,0,straight
68.8,688,0,0,straight
68.9,689,0,0,straight
69,690,0,0,straight
69.1,691,0,0,straight
69.2,692,0,0,straight
69.3,693,0,0,straight
69.4,694,0,0,straight
69.5,695,0,0,straight
69.6,696,0,0,straight
69.7,697,0,0,straight
69.8,698,0,0,straight
69.9,699,0,0,straight
70,700,0,0,straight
70.1,701,0,0,straight
70.2,702,0,0,straight
70.3,703,0,0,straight
70.4,704,0,0,straight
70.5,705,0,0,straight
70.6,706,0,0,straight
70.7,707,0,0,straight
70.8,708,0,0,straight
70.9,709,0,0,straight
71,710,0,0,straight
71.1,711,0,0,straight
71.2,712,0,0,straight
71.3,713,0,0,straight
71.4,714,0,0,straight
71.5,715,0,0,straight
71.6,716,0,0,straight
71.7,717,0,0,straight
71.8,718,0,0,straight
71.9,719,0,0,straight
72,720,0,0,straight
72.1,721,0,0,straight
72.2,722,0,0,straight
72.3,723,0,0,straight
72.4,724,0,0,straight
72.5,725,0,0,straight
72.6,726,0,0,straight
72.7,727,0,0,straight
72.8,728,0,0,straight
72.9,729,0,0,straight
73,730,0,0,straight
73.1,731,0,0,straight
73.2,732,0,0,straight
73.3,733,0,0,straight
73.4,734,0,0,straight
73.5,735,0,0,straight
73.6,736,0,0,straight
73.7,737,0,0,straight
73.8,738,0,0,straight
73.9,739,0,0,straight
74,740,0,0,straight
74.1,741,0,0,straight
74.2,742,0,0,straight
74.3,743,0,0,straight
74.4,744,0,0,straight
74.5,745,0,0,straight
74.6,746,0,0,straight
74.7,747,0,0,straight
74.8,748,0,0,straight
74.9,749,0,0,straight
75,750,0,0,straight
75.1,751,0,0,straight
75.2,752,0,0,straight
75.3,753,0,0,straight
75.4,754,0,0,straight
75.5,755,0,0,straight
75.6,756,0,0,straight
75.7,757,0,0,straight
75.8,758,0,0,straight
75.9,759,0,0,straight
76,760,0,0,straight
76.1,761,0,0,straight
76.2,762,0,0,straight
76.3,763,0,0,straight
76.4,764,0,0,straight
76.5,765,0,0,straight
76.6,766,0,0,straight
76.7,767,0,0,straight
76.8,768,0,0,straight
76.9,769,0,0,straight
77,770,0,0,straight
77.1,771,0,0,straight
77.2,772,0,0,straight
77.3,773,0,0,straight
77.4,774,0,0,straight
77.5,775,0,0,straight
77.6,776,0,0,straight
77.7,777,0,0,straight
77.8,778,0,0,straight
77.9,779,0,0,straight
78,780,0,0,straight
78.1,781,0,0,straight
78.2,782,0,0,straight
78.3,783,0,0,straight
78.4,784,0,0,straight
78.5,785,0,0,straight
78.6,786,0,0,straight
78.7,787,0,0,straight
78.8,788,0,0,straight
78.9,789,0,0,straight
79,790,0,0,straight
79.1,791,0,0,straight
79.2,792,0,0,straight
79.3,793,0,0,straight
79.4,794,0,0,straight
79.5,795,0,0,straight
79.6,796,0,0,straight
79.7,797,0,0,straight
79.8,798,0,0,straight
79.9,799,0,0,straight
80,800,0,0,straight
80.1,801,0,0,straight
80.2,802,0,0,straight
80.3,803,0,0,straight
80.4,804,0,0,straight
80.5,805,0,0,straight
80.6,806,0,0,straight
80.7,807,0,0,straight
80.8,808,0,0,straight
80.9,809,0,0,straight
81,810,0,0,straight
81.1,811,0,0,straight
81.2,812,0,0,straight
81.3,813,0,0,straight
81.4,814,0,0,straight
81.5,815,0,0,straight
81.6,816,0,0,straight
81.7,817,0,0,straight
81.8,818,0,0,straight
81.9,819,0,0,straight
82,820,0,0,straight
82.1,821,0,0,straight
82.2,822,0,0,straight
82.3,823,0,0,straight
82.4,824,0,0,straight
82.5,825,0,0,straight
82.6,826,0,0,straight
82.7,827,0,0,straight
82.8,828,0,0,straight
82.9,829,0,0,straight
83,830,0,0,straight
83.1,831,0,0,straight
83.2,832,0,0,straight
83.3,833,0,0,straight
83.4,834,0,0,straight
83.5,835,0,0,straight
83.6,836,0,0,straight
83.7,837,0,0,straight
83.8,838,0,0,straight
83.9,839,0,0,straight
84,840,0,0,straight
84.1,841,0,0,straight
84.2,842,0,0,straight
84.3,843,0,0,straight
84.4,844,0,0,straight
84.5,845,0,0,straight
84.6,846,0,0,straight
84.7,847,0,0,straight
84.8,848,0,0,straight
84.9,849,0,0,straight
85,850,0,0,straight
85.1,851,0,0,straight
85.2,852,0,0,straight
85.3,853,0,0,straight
85.4,854,0,0,straight
85.5,855,0,0,straight
85.6,856,0,0,straight
85.7,857,0,0,straight
85.8,858,0,0,straight
85.9,859,0,0,straight
86,860,0,0,straight
86.1,861,0,0,straight
86.2,862,0,0,straight
86.3,863,0,0,straight
86.4,864,0,0,straight
86.5,865,0,0,straight
86.6,866,0,0,straight
86.7,867,0,0,straight
86.8,868,0,0,straight
86.9,869,0,0,straight
87,870,0,0,straight
87.1,871,0,0,straight
87.2,872,0,0,straight
87.3,873,0,0,straight
87.4,874,0,0,straight
87.5,875,0,0,straight
87.6,876,0,0,straight
87.7,877,0,0,straight
87.8,878,0,0,straight
87.9,879,0,0,straight
88,880,0,0,straight
88.1,881,0,0,straight
88.2,882,0,0,straight
88.3,883,0,0,straight
88.4,884,0,0,straight
88.5,885,0,0,straight
88.6,886,0,0,straight
88.7,887,0,0,straight
88.8,888,0,0,straight
88.9,889,0,0,straight
89,890,0,0,straight
89.1,891,0,0,straight
89.2,892,0,0,straight
89.3,893,0,0,straight
89.4,894,0,0,straight
89.5,895,0,0,straight
89.6,896,0,0,straight
89.7,897,0,0,straight
89.8,898,0,0,straight
89.9,899,0,0,straight
90,900,0,0,straight
90.1,901,0,0,straight
90.2,902,0,0,straight
90.3,903,0,0,straight
90.4,904,0,0,straight
90.5,905,0,0,straight
90.6,906,0,0,straight
90.7,907,0,0,straight
90.8,908,0,0,straight
90.9,909,0,0,straight
91,910,0,0,straight
91.1,911,0,0,straight
91.2,912,0,0,straight
91.3,913,0,0,straight
91.4,914,0,0,straight
91.5,915,0,0,straight
91.6,916,0,0,straight
91.7,917,0,0,straight
91.8,918,0,0,straight
91.9,919,0,0,straight
92,920,0,0,straight
92.1,921,0,0,straight
92.2,922,0,0,straight
92.3,923,0,0,straight
92.4,924,0,0,straight
92.5,925,0,0,straight
92.6,926,0,0,straight
92.7,927,0,0,straight
92.8,928,0,0,straight
92.9,929,0,0,straight
93,930,0,0,straight
93.1,931,0,0,straight
93.2,932,0,0,straight
93.3,933,0,0,straight
93.4,934,0,0,straight
93.5,935,0,0,straight
93.6,936,0,0,straight
93.7,937,0,0,straight
93.8,938,0,0,straight
93.9,939,0,0,straight
94,940,0,0,straight
94.1,941,0,0,straight
94.2,942,0,0,straight
94.3,943,0,0,straight
94.4,944,0,0,straight
94.5,945,0,0,straight
94.6,946,0,0,straight
94.7,947,0,0,straight
94.8,948,0,0,straight
94.9,949,0,0,straight
95,950,0,0,straight
95.1,951,0,0,straight
95.2,952,0,0,straight
95.3,953,0,0,straight
95.4,954,0,0,straight
95.5,955,0,0,straight
95.6,956,0,0,straight
95.7,957,0,0,straight
95.8,958,0,0,straight
95.9,959,0,0,straight
96,960,0,0,straight
96.1,961,0,0,straight
96.2,962,0,0,straight
96.3,963,0,0,straight
96.4,964,0,0,straight
96.5,965,0,0,straight
96.6,966,0,0,straight
96.7,967,0,0,straight
96.8,968,0,0,straight
96.9,969,0,0,straight
97,970,0,0,straight
97.1,971,0,0,straight
97.2,972,0,0,straight
97.3,973,0,0,straight
97.4,974,0,0,straight
97.5,975,0,0,straight
97.6,976,0,0,straight
97.7,977,0,0,straight
97.8,978,0,0,straight
97.9,979,0,0,straight
98,980,0,0,straight
98.1,981,0,0,straight
98.2,982,0,0,straight
98.3,983,0,0,straight
98.4,984,0,0,straight
98.5,985,0,0,straight
98.6,986,0,0,straight
98.7,987,0,0,straight
98.8,988,0,0,straight
98.9,989,0,0,straight
99,990,0,0,straight
99.1,991,0,0,straight
99.2,992,0,0,straight
99.3,993,0,0,straight
99.4,994,0,0,straight
99.5,995,0,0,straight
99.6,996,0,0,straight
99.7,997,0,0,straight
99.8,998,0,0,straight
99.9,999,0,0,straight
100,1000,0,0,straight
